year,crime_lvl1,crime_lvl2,crime_lvl3,group,detail,count
2023,특별법범,출입국관리법,소계,전과없음,소계,939
2023,특별법범,통신비밀보호법,소계,전과없음,소계,100
2023,특별법범,특가법(도주차량),소계,전과없음,소계,1692
2023,특별법범,특허법,소계,전과없음,소계,18
2023,특별법범,폐기물관리법,소계,전과없음,소계,275
2023,특별법범,풍속영업의규제에관한법률,소계,전과없음,소계,27
2023,특별법범,하천법,소계,전과없음,소계,23
2023,특별법범,학원의설립운영및과외교습에관한법률,소계,전과없음,소계,180
2023,특별법범,화물자동차운수사업법,소계,전과없음,소계,451
2023,특별법범,화재로인한재해보상과보험가입에관한법률,소계,전과없음,소계,1
2023,특별법범,화재의예방및안전에관한법률/소방시설설치및관리에관한법률,소계,전과없음,소계,71
2023,특별법범,화학물질관리법,소계,전과없음,소계,58
2023,특별법범,기타특별법,소계,전과없음,소계,12899
2023,합계,소계,소계,전과,소계,606895
2023,형법범,소계,소계,전과,소계,351187
2023,형법범,재산범죄,소계,전과,소계,168540
2023,형법범,재산범죄,절도,전과,소계,52961
2023,형법범,재산범죄,장물,전과,소계,320
2023,형법범,재산범죄,사기,전과,소계,80763
2023,형법범,재산범죄,횡령,전과,소계,13193
2023,형법범,재산범죄,배임,전과,소계,1178
2023,형법범,재산범죄,손괴,전과,소계,20125
2023,형법범,강력범죄(흉악),소계,전과,소계,14399
2023,형법범,강력범죄(흉악),살인,전과,소계,427
2023,형법범,강력범죄(흉악),강도,전과,소계,493
2023,형법범,강력범죄(흉악),방화,전과,소계,682
2023,형법범,강력범죄(흉악),성폭력,전과,소계,12797
2023,형법범,강력범죄(폭력),소계,전과,소계,109837
2023,형법범,강력범죄(폭력),폭행,전과,소계,69740
2023,형법범,강력범죄(폭력),상해,전과,소계,20311
2023,형법범,강력범죄(폭력),협박,전과,소계,12083
2023,형법범,강력범죄(폭력),공갈,전과,소계,4453
2023,형법범,강력범죄(폭력),약취와유인,전과,소계,147
2023,형법범,강력범죄(폭력),체포와감금,전과,소계,762
2023,형법범,강력범죄(폭력),폭력행위등(손괴강요주거침입등),전과,소계,1931
2023,형법범,강력범죄(폭력),폭력행위등(단체등의구성?활동),전과,소계,410
2023,형법범,위조범죄,소계,전과,소계,3929
2023,형법범,위조범죄,통화,전과,소계,11
2023,형법범,위조범죄,유가증권·인지·우표,전과,소계,23
2023,형법범,위조범죄,문서,전과,소계,3687
2023,형법범,위조범죄,인장,전과,소계,208
2023,형법범,공무원범죄,소계,전과,소계,244
2023,형법범,공무원범죄,직무유기,전과,소계,10
2023,형법범,공무원범죄,직권남용,전과,소계,20
2023,형법범,공무원범죄,수뢰,전과,소계,158
2023,형법범,공무원범죄,증뢰,전과,소계,56
2023,형법범,풍속범죄,소계,전과,소계,10364
2023,형법범,풍속범죄,도박과복표,전과,소계,9270
2023,형법범,풍속범죄,신앙,전과,소계,91
2023,형법범,풍속범죄,기타음란행위,전과,소계,1003
2023,형법범,과실범죄,소계,전과,소계,4465
2023,형법범,과실범죄,과실치사상,전과,소계,897
2023,형법범,과실범죄,업무상과실치사상,전과,소계,2537
2023,형법범,과실범죄,실화,전과,소계,1031
2023,형법범,기타형법범죄,소계,전과,소계,39409
2023,형법범,기타형법범죄,명예,전과,소계,8308
2023,형법범,기타형법범죄,권리행사방해,전과,소계,1560
2023,형법범,기타형법범죄,신용업무경매,전과,소계,11684
2023,형법범,기타형법범죄,주거침입,전과,소계,6594
2023,형법범,기타형법범죄,비밀침해,전과,소계,14
2023,형법범,기타형법범죄,유기,전과,소계,55
2023,형법범,기타형법범죄,교통방해,전과,소계,630
2023,형법범,기타형법범죄,공무방해,전과,소계,8719
2023,형법범,기타형법범죄,도주와범인은닉,전과,소계,272
2023,형법범,기타형법범죄,위증과증거인멸,전과,소계,268
2023,형법범,기타형법범죄,무고,전과,소계,778
2023,형법범,기타형법범죄,공안을해하는죄,전과,소계,513
2023,형법범,기타형법범죄,음용수에관한죄,전과,소계,12
2023,형법범,기타형법범죄,일수와수리에관한죄,전과,소계,1
2023,형법범,기타형법범죄,기타,전과,소계,1
2023,특별법범,소계,소계,전과,소계,255708
2023,특별법범,가정폭력범죄의처벌등에관한특례법,소계,전과,소계,881
2023,특별법범,가축분뇨의관리및이용에관한법률,소계,전과,소계,380
2023,특별법범,감염병의예방및관리에관한법률,소계,전과,소계,2049
